idSite;NomSite;Typologie MTK;Adresse_Site;Code_postal;Ville;Nb_Heures;latitude;longitude;cluster
288;PONT DE CHERUY;PDC; RUE DES AUBEPINES;38230;PONT DE CHERUY;1.5;45.7522285;5.1747488;5
227;PONT DE CHERUY CC;BP;72 RUE AIME PINEL;38230;PONT DE CHERUY;1.5;45.7542134;5.1770138;5
182;PONT DE L ISERE BPX;BP;2 LE HAMEAU LES TILLEULS LOT NA;26600;PONT DE L ISERE;1.5;45.004331;4.8714601;0
48;PONT DE VAUX;PDC;77 RUE MAL DE LATTRE DE TASSIGNY;1190;PONT DE VAUX;1.5;46.430041;4.938343;3
49;PONT DE VEYLE;BP;18 RUE DE LA POSTE;1290;PONT DE VEYLE;1.5;46.2637681;4.8867328;3
291;PONT EN ROYANS;BP; GRANDE RUE;38680;PONT EN ROYANS;1.5;45.0606939;5.3462299;2
290;PONT EVEQUE;BP;2 RUE JOSEPH VEYET;38780;PONT EVEQUE;1.75;45.5302714;4.9126188;5
231;PONT EVEQUE CC;BP; ALLEE DES PEUPLIERS;38780;PONT EVEQUE;1.5;45.5263062;4.9219593;5
286;PONTCHARRA;BP; PLACE PIERRE DU TERRAIL;38530;PONTCHARRA;1.5;45.4322663;6.0238023;1
183;PORTES LES VALENCE;PDC;135 ALLEE AUGUSTE DELAUNE;26800;PORTES LES VALENCE;1.492307692;44.8749916;4.8793007;0
112;POUZIN (LE);BP;5 RUE MARCEL NICOLAS;7250;LE POUZIN;1.818423077;44.7555185;4.7485628;0
50;PREVESSIN CERN;BP; ROUTE DE SAINT GENIS;1280;PREVESSIN MOENS;1.5;46.2552269;6.0786884;6
51;PREVESSIN MOENS;PDC;88 CHEMIN DE L EGLISE;1280;PREVESSIN MOENS;2.584615385;46.2539504;6.0797702;6
490;PRINGY;PDC;19 PLACE GEORGES BOILEAU;74370;ANNECY;59.46024615;45.946752;6.122246;1
113;PRIVAS;PDC;2 AVENUE DE L EUROPE UNIE;7000;PRIVAS;10.89874231;44.7339419;4.59798;4
491;REIGNIER;BP;4 GRANDE RUE;74930;REIGNIER ESERY;1.209730769;46.138021;6.2706557;6
184;REMUZAT;BP;5189 LE VILLAGE;26510;REMUZAT;1.341111538;44.4136434;5.3560477;0
243;RENAGE;PDC;610 RUE DE LA REPUBLIQUE;38140;RENAGE;1.5;45.3353095;5.4828821;2
295;RIVES ILOT FACTEUR;BP;373 ROUTE DES BRUYERES;38140;RIVES SUR FURE;1.5;45.352003;5.513284;2
292;RIVES SUR FURE;PDC;139 PLACE DE LA LIBERATION;38140;RIVES SUR FURE;1.138069231;45.350385;5.504394;2
185;ROCHE DE GLUN;BP;14 RUE ROUSSILLON;26600;LA ROCHE DE GLUN;1.009615385;45.0130926;4.8450055;0
294;ROCHES DE CONDRIEU;Hors MTK;9001 PLACE DE LA LIBERTE;38370;LES ROCHES DE CONDRIEU;1.5;45.453;4.7682776;5
138;ROMANS CLC;BP;9001 AVENUE DU MAQUIS;26100;ROMANS SUR ISERE;4.903846154;45.0452603;5.0659019;0
139;ROMANS LA MONNAIE BPX;PDC; RUE EUGENE CHAVANT;26100;ROMANS SUR ISERE;1.5;45.0461333;5.0700149;0
186;ROMANS SUR ISERE;BP;13 RUE DU CAPITAINE BOZAMBO;26100;ROMANS SUR ISERE;4.507692308;45.0549039;5.0382502;0
132;ROSIERES PDC;BP; QUARTIER LES VERNADES;7260;ROSIERES;1.713153846;44.4828017;4.2558351;4
296;ROUSSILLON;BP;26 AVENUE JEAN JAURES;38150;ROUSSILLON;1.701923077;45.365995;4.806001;5
297;ROYBON;BP;5 PLACE SAINT ROMME;38940;ROYBON;1.919230769;45.2500789;5.2338233;5
492;RUMILLY;BP;8 RUE CHARLES DE GAULLE;74150;RUMILLY;3.673076923;45.868;5.94353;1
450;RUMILLY CC;BP;57 RUE RENE CASSIN;74150;RUMILLY;1.5;45.84859;5.95242;1
114;RUOMS;BP;2 PLACE DU GENERAL DE GAULLE;7120;RUOMS;1.5;44.4533583;4.3429435;4
173;SAILLANS PDC;BP;180 LA TUILLIERE;26340;SAILLANS;1.063038462;44.692272;5.187623;0
55;SAINT GENIS POUILLY BP;BP;119 AVENUE DE LA REPUBLIQUE;1630;ST GENIS POUILLY;5.576923077;46.243055;6.0251042;6
493;SAINT GERVAIS;BP;53 AVENUE DE MIAGE;74170;ST GERVAIS LES BAINS;3.090923077;45.8833638;6.7157819;7
494;SAINT JEAN DE SIXT;BP;5061 LES SIXTS;74450;ST JEAN DE SIXT;1.5;45.922917;6.413214;6
228;SAINT JEAN DE SOUDAIN CDIS;PDC;40 RUE DES MURIERS;38110;ST JEAN DE SOUDAIN;1.5;45.5642197;5.4355736;5
426;SAINT JORIOZ;BP;138 ROUTE DU CENTRE;74410;ST JORIOZ;1.5;45.8316206;6.1651697;1
496;SAINT JULIEN EN GENEVOIS CENTRE;BP;3 PLACE DE LA LIBERATION;74160;ST JULIEN EN GENEVOIS;1.5;46.19244;6.2354962;6
248;SAINT MARCELLIN PDC;BP;2 RUE DE L ATELIER;38160;ST MARCELLIN;1.5;45.1387676;5.322349;2
443;SAINT PAUL EN CHABLAIS;PDC; CHEF LIEU;74500;ST PAUL EN CHABLAIS;1.728065385;46.3616317;6.626359;6
497;SAINT PIERRE FAUCIGNY;BP;60 PLACE DES PLEIADES;74800;ST PIERRE EN FAUCIGNY;1.5;46.0597865;6.3714188;6
95;SAINT SAUVEUR DE MONTAGUT PDC;BP;65 ROUTE DE MANOULIER;7190;ST SAUVEUR DE MONTAGUT;1.5;44.8202245;4.5840449;4
305;SAINT-HILAIRE;BP;97 ROUTE DES 3 VILLAGES;38660;PLATEAU DES PETITES ROCHES;1.5;45.3256177;5.8983789;2
233;SALAISE SUR SANNE BP;BP; RUE AVIT NICOLAS;38150;SALAISE SUR SANNE;8.747769231;45.3441815;4.818905;5
498;SALLANCHES;PDC;43 AVENUE DE GENEVE;74700;SALLANCHES;1.5;45.936964;6.630562;6
448;SALLANCHES CDIS;PDC;1230 RUE DU GENERAL DE GAULLE;74700;SALLANCHES;1.5;45.956696;6.631262;6
499;SAMOENS;BP;5267 SAMOENS;74340;SAMOENS;1.5;46.0532015;6.6981934;6
192;SAOU BPX;BP;5086 LE VILLAGE;26400;SAOU;1.5;44.6466725;5.0623738;0
313;SASSENAGE;PDC;8 RUE FRANCOIS GERIN;38360;SASSENAGE;1.5;45.2079217;5.6602994;2
220;SASSENAGE CTC;BP;14 RUE FRANCOIS BLUMET;38360;SASSENAGE;1.5;45.2089425;5.6780724;2
122;SATILLIEU;BP;5001 PLACE DES GAUDS;7290;SATILLIEU;1.5;45.1500345;4.6145479;0
194;SAULCE SUR RHONE BPX;PDC;1 PLACE EMILE LOUBET;26270;SAULCE SUR RHONE;1.472376923;44.7028968;4.799461;0
195;SAUZET;BP; ROUTE DE LA COUCOURDE;26740;SAUZET;1.5;44.6060099;4.8165811;0
378;SAVOIE TECHNOLAC AP;PDC; SAVOIE TECHNOLAC;73370;LE BOURGET DU LAC;1.5;45.6421331;5.8733249;1
500;SCIONZIER;PDC;21 PLACE DU FORON;74950;SCIONZIER;2.657692308;46.057179;6.5495693;6
145;SEDERON BP;BP;5040 RUE DE LA ROSIERE;26560;SEDERON;1.5;44.2042939;5.5360511;0
123;SERRIERES;BP; QUAI JULES ROCHE;7340;SERRIERES;1.5;45.3187158;4.7648853;0
59;SERRIERES DE BRIORD;BP;1 PLACE DE LA POSTE;1470;SERRIERES DE BRIORD;1.5;45.8067;5.45359;5
60;SERRIERES DE BRIORD GARAGE;BP;28 RUE DE LA PLANTAZ;1470;SERRIERES DE BRIORD;1.178846154;45.807901;5.447787;5
454;SEVRIER CDIS EXTENSION;BP;4450 ROUTE D ALBERTVILLE;74320;SEVRIER;1.5;45.8824652;6.1419189;1
425;SEVRIER RIVE GAUCH DU LAC CDIS;BP;4550 ROUTE D ALBERTVILLE;74320;SEVRIER;1.5;45.8440088;6.1500478;1
533;SEYNOD;BP;20 PLACE SAINT JEAN;74600;ANNECY;1.5;45.887182;6.1015031;1
501;SEYSSEL;BP;22 PLACE DE L ORME;74910;SEYSSEL;1.069615385;45.9588968;5.8355646;1
213;SEYSSINET;PI;69 AVENUE DE LA REPUBLIQUE;38170;SEYSSINET PARISET;1.5;45.1806919;5.697444;2
258;SEYSSINET LOCAL SYNDICAT;BP;20 AVENUE DE LA HOUILLE BLANCHE;38170;SEYSSINET PARISET;1.5;45.1785681;5.6924921;2
115;ST AGREVE;PDC;8 AVENUE DES CEVENNES;7320;ST AGREVE;1.5;45.0123527;4.3912685;4
368;ST ALBAN EN LEYSSE PDC;BP;200 RUE DES BARILLETTES;73230;ST ALBAN LEYSSE;1.5;45.574975;5.960724;1
397;ST ALBAN LEYSSE PLANCENAY;BP;5 COURS DU PLANCENAY;73232;ST ALBAN LEYSSE;2.192830769;45.580085;5.95786;1
52;ST ANDRE DE CORCY;PDC;5 PLACE DES MILLIERES;1390;ST ANDRE DE CORCY;1.5;45.9273707;4.9562385;3
400;ST BALDOPH;PDC; ROUTE D APREMONT;73190;ST BALDOPH;1.5;45.5321182;5.9559928;1
299;ST CHEF;PDC;1 RUE DE L ABBATIALE;38890;ST CHEF;1.032419231;45.6318827;5.3714776;5
300;ST CLAIR DU RHONE;PI;7 RUE EMILE ROMANET;38370;ST CLAIR DU RHONE;1.5;45.4394485;4.7710461;5
11;ST DIDIER SUR CHALARONNE BPX;BP;23 RUE DU CENTRE;1140;ST DIDIER SUR CHALARONNE;1.884615385;46.177517;4.816079;3
187;ST DONAT SUR L HERBASSE;PDC;5028 AVENUE GEORGE BERT;26260;ST DONAT SUR L HERBASSE;1.5;45.1245424;4.9816688;0
240;ST EGREVE BP;PDC;2 RUE DE LA CONTAMINE;38120;ST EGREVE;1.5;45.2323115;5.6773142;2
230;ST EGREVE CC;BP; RUE DE ROCHEPLEINE;38120;ST EGREVE;1.453653846;45.241515;5.6813778;2
116;ST ETIENNE DE FONTBELLON BPX;PDC;5929 ROUTE D ALES;7200;ST ETIENNE DE FONTBELLON;1.5;44.6012444;4.3866977;4
301;ST ETIENNE DE ST GEOIRS;PDC;5370 PLACE ALEXANDRE GAGNEUX;38590;ST ETIENNE DE ST GEOIRS;1.909569231;45.3397056;5.3441275;5
54;ST ETIENNE DU BOIS;BP;190 RUE CENTRALE;1370;ST ETIENNE DU BOIS;3.531876923;46.2860778;5.292152;3
117;ST FELICIEN;PDC;5390 LE VILLAGE;7410;ST FELICIEN;17.17096154;45.0864599;4.6281176;0
29;ST GENIS POUILLY - TECHNOPARC;BP; RUE NICOLAS APPERT;1630;ST GENIS POUILLY;1.5;46.2359133;6.021498;6
302;ST GEOIRE EN VALDAINE;BP; LE BOURG;38620;ST GEOIRE EN VALDAINE;1.5;45.4599474;5.6205979;2
234;ST GEORGES D ESPERANCHE;BP; RUE MARCHANDE;38790;ST GEORGES D ESPERANCHE;1.5;45.5565125;5.0764576;5
459;ST GINGOLPH BP;BP;42 RUE NATIONALE;74500;ST GINGOLPH;2.425384615;46.393589;6.8009957;6
304;ST HILAIRE DU ROSIER;PDC; LA GARE;38840;ST HILAIRE DU ROSIER;1.5;45.070837;5.2432821;0
306;ST ISMIER;BP;3 PLACE DE L EGLISE;38330;ST ISMIER;1.5;45.248069;5.825873;2
307;ST JEAN DE BOURNAY;BP;9006 RUE HECTOR BERLIOZ;38440;ST JEAN DE BOURNAY;1.5;45.5013371;5.1409815;5
293;ST JEAN DE BOURNAY PDC;PDC; ZAC DES ECHARRIERES;38440;ST JEAN DE BOURNAY;1.5;45.4940025;5.1474982;5
402;ST JEAN DE MAURIENNE;BP; PLACE FODERE;73300;ST JEAN DE MAURIENNE;1.5;45.2780259;6.3426658;7
